Month,Time Period,Agency,Police.Force,Metric,Total,Quarters,Sum
09/01/2024,2024-Q3,NYCT Subway,NYPD,Fare Evasion TABS Summons,12226,3,37116
10/01/2024,,NYCT Subway,NYPD,Fare Evasion TABS Summons,13377,4,
11/01/2024,,NYCT Subway,NYPD,Fare Evasion TABS Summons,11513,4,
12/01/2024,2024-Q4,NYCT Subway,NYPD,Fare Evasion TABS Summons,10500,4,29123
01/01/2025,,NYCT Subway,NYPD,Fare Evasion TABS Summons,9479,1,
02/01/2025,,NYCT Subway,NYPD,Fare Evasion TABS Summons,9144,1,
03/01/2025,2025-Q1,NYCT Subway,NYPD,Fare Evasion TABS Summons,10423,1,33039
04/01/2025,,NYCT Subway,NYPD,Fare Evasion TABS Summons,10441,2,
05/01/2025,,NYCT Subway,NYPD,Fare Evasion TABS Summons,12175,2,
06/01/2025,2025-Q2,NYCT Subway,NYPD,Fare Evasion TABS Summons,8910,2,26027
07/01/2025,,NYCT Subway,NYPD,Fare Evasion TABS Summons,8808,3,
08/01/2025,,NYCT Subway,NYPD,Fare Evasion TABS Summons,8309,3,
09/01/2025,2025-Q3,NYCT Subway,NYPD,Fare Evasion TABS Summons,8238,3,8238
